
-----------------------> 2021-12-08 12:14:28 begin <----------------------------
1638965668.2042729337 main  checking input file
1638965668.68996709 fail  match: Tadhg has 2 matches
1638965668.68996709 fail  match: Tim has 0 matches
1638965669.314743441 fail  match: Tadhg has 2 matches
1638965669.314743441 fail  match: Tim has 0 matches
1638965669.210474397 fail  match: Tadhg has 2 matches
1638965669.210474397 fail  match: Tim has 0 matches
1638965670.2377415625 fail  match: Tadhg has 2 matches
1638965670.2377415625 fail  match: Tim has 0 matches
1638965670.2956927451 fail  match: Tadhg has 2 matches
1638965670.2956927451 fail  match: Tim has 0 matches
1638965671.972514178 fail  match: Tadhg has 2 matches
1638965671.972514178 fail  match: Tim has 0 matches
1638965672.2303810690 fail  match: Tadhg has 2 matches
1638965672.2303810690 fail  match: Tim has 0 matches
1638965672.758227792 fail  match: Tadhg has 2 matches
1638965672.758227792 fail  match: Tim has 0 matches
1638965673.3047426423 fail  match: Tadhg has 2 matches
1638965673.3047426423 fail  match: Laura has 0 matches
1638965673.3047426423 fail  match: Tim has 0 matches
1638965673.3047426423 fail  checks: matches (       7) != number of participants (       8)
1638965673.3047426423 fail  checks: Tim matched 0 times
1638965673.3047426423 fail  checks: the list of particpants in run.1638965673.3047426423/all does not match the list of particpants matched in run.1638965673.3047426423/*.match
1638965673.287677359 fail  match: Tadhg has 2 matches
1638965673.287677359 fail  match: Tim has 0 matches
1638965674.46518381 fail  match: Tadhg has 2 matches
1638965674.46518381 fail  match: Laura has 0 matches
1638965674.46518381 fail  match: Tim has 0 matches
1638965674.46518381 fail  checks: matches (       7) != number of participants (       8)
1638965674.46518381 fail  checks: Tim matched 0 times
1638965674.46518381 fail  checks: the list of particpants in run.1638965674.46518381/all does not match the list of particpants matched in run.1638965674.46518381/*.match
1638965675.3078028754 fail  match: Tadhg has 2 matches
1638965675.3078028754 fail  match: Tim has 0 matches
1638965675.83108845 fail  match: Tadhg has 2 matches
1638965675.83108845 fail  match: Tim has 0 matches
1638965676.3065230194 fail  match: Tadhg has 2 matches
1638965676.3065230194 fail  match: Tim has 0 matches
1638965676.102837759 fail  match: Tadhg has 2 matches
1638965676.102837759 fail  match: Laura has 0 matches
1638965676.102837759 fail  match: Tim has 0 matches
1638965676.102837759 fail  checks: matches (       7) != number of participants (       8)
1638965676.102837759 fail  checks: Tim matched 0 times
1638965676.102837759 fail  checks: the list of particpants in run.1638965676.102837759/all does not match the list of particpants matched in run.1638965676.102837759/*.match
1638965677.1843519031 fail  match: Tadhg has 2 matches
1638965677.1843519031 fail  match: Tim has 0 matches
1638965678.2423614588 fail  match: Tadhg has 2 matches
1638965678.2423614588 fail  match: Laura has 0 matches
1638965678.2423614588 fail  match: Tim has 0 matches
1638965678.2423614588 fail  checks: matches (       7) != number of participants (       8)
1638965678.2423614588 fail  checks: Laura matched 0 times
1638965678.2423614588 fail  checks: the list of particpants in run.1638965678.2423614588/all does not match the list of particpants matched in run.1638965678.2423614588/*.match
1638965678.302052883 fail  match: Tadhg has 2 matches
1638965678.302052883 fail  match: Tim has 0 matches
1638965679.241963206 fail  match: Tadhg has 2 matches
1638965679.241963206 fail  match: Tim has 0 matches
1638965680.2525014786 fail  match: Tadhg has 2 matches
1638965680.2525014786 fail  match: Tim has 0 matches
1638965680.1415331342 fail  match: Tadhg has 2 matches
1638965680.1415331342 fail  match: Tim has 0 matches
1638965681.265305940 fail  match: Tadhg has 2 matches
1638965681.265305940 fail  match: Tim has 0 matches
1638965681.2474321328 fail  match: Tadhg has 2 matches
1638965681.2474321328 fail  match: Tim has 0 matches
